,Date/Time,Environment Temperature,Electricity,Setting Temperature
0, 08/01  00:10:00,26.2,12968.8254,26
1, 08/01  00:20:00,26.4,1477.56290999999,26
2, 08/01  00:30:00,26.6,798.22704,26
3, 08/01  00:40:00,26.8,586.029029999999,26
4, 08/01  00:50:00,27.0,1351.12395,26
5, 08/01  01:00:00,27.2,203.934916,26
6, 08/01  01:10:00,27.16666667,604.42896,26
7, 08/01  01:20:00,27.13333333,0.0,26
8, 08/01  01:30:00,27.1,0.0,26
9, 08/01  01:40:00,27.06666667,0.0,26
10, 08/01  01:50:00,27.03333333,0.0,26
11, 08/01  02:00:00,27.0,0.0,26
12, 08/01  02:10:00,26.96666667,0.0,26
13, 08/01  02:20:00,26.93333333,0.0,26
14, 08/01  02:30:00,26.9,0.0,26
15, 08/01  02:40:00,26.86666667,0.0,26
16, 08/01  02:50:00,26.83333333,0.0,26
17, 08/01  03:00:00,26.8,0.0,26
18, 08/01  03:10:00,26.78333333,0.0,26
19, 08/01  03:20:00,26.76666667,0.0,26
20, 08/01  03:30:00,26.75,0.0,26
21, 08/01  03:40:00,26.73333333,0.0,26
22, 08/01  03:50:00,26.71666667,0.0,26
23, 08/01  04:00:00,26.7,0.0,26
24, 08/01  04:10:00,26.7,0.0,26
25, 08/01  04:20:00,26.7,0.0,26
26, 08/01  04:30:00,26.7,0.0,26
27, 08/01  04:40:00,26.7,0.0,26
28, 08/01  04:50:00,26.7,0.0,26
29, 08/01  05:00:00,26.7,0.0,26
30, 08/01  05:10:00,26.7,0.0,26
31, 08/01  05:20:00,26.7,0.0,26
32, 08/01  05:30:00,26.7,0.0,26
33, 08/01  05:40:00,26.7,0.0,26
34, 08/01  05:50:00,26.7,0.0,26
35, 08/01  06:00:00,26.7,0.0,26
36, 08/01  06:10:00,26.75,94.20534,26
37, 08/01  06:20:00,26.8,117.05373,26
38, 08/01  06:30:00,26.85,111.85923,26
39, 08/01  06:40:00,26.9,0.0,26
40, 08/01  06:50:00,26.95,0.0,26
41, 08/01  07:00:00,27.0,636.13662,26
42, 08/01  07:10:00,27.01666667,165.845725,26
43, 08/01  07:20:00,27.03333333,0.0,26
44, 08/01  07:30:00,27.05,0.0,26
45, 08/01  07:40:00,27.06666667,276.8386,26
46, 08/01  07:50:00,27.08333333,11732.8757,26
47, 08/01  08:00:00,27.1,11255.3653,26
48, 08/01  08:10:00,27.25,10756.291,26
49, 08/01  08:20:00,27.4,11149.7545,26
50, 08/01  08:30:00,27.55,11383.641,26
51, 08/01  08:40:00,27.7,11565.3258,26
52, 08/01  08:50:00,27.85,11738.4885,26
53, 08/01  09:00:00,28.0,11908.1773,26
54, 08/01  09:10:00,28.16666667,12106.6212999999,26
55, 08/01  09:20:00,28.33333333,12300.8363,26
