,t_out,Energy_2,Energy_4,Energy_3,temperature:drybulb,Equip,Energy_5,Energy_1,light,occ
0,25.1,3959.8926,3943.9805,2500.286,21.998762,0.4377068,2564.6663,0.0,0.03570326,0.0
1,25.2,3998.4443,3980.2866,2522.922,21.998756,0.4377068,2587.7717,0.0,0.03570326,0.0
2,25.3,4034.7773,4014.294,2544.211,21.998737,0.4377068,2609.4387,0.0,0.03570326,0.0
3,25.4,4069.1753,4046.297,2564.3489,21.998718,0.4377068,2629.8757,0.0,0.03570326,0.0
4,25.5,4102.1597,4076.8684,2583.6865,21.9987,0.4377068,2649.4392,0.0,0.03570326,0.0
5,25.6,4134.117,4106.404,2602.4602,21.99868,0.4377068,2668.373,0.0,0.03570326,0.0
6,25.566668,4120.4443,4095.3557,2593.7522,21.99867,0.4377068,2660.0068,0.0,0.03570326,0.0
7,25.533333,4107.153,4082.5273,2584.9565,21.998676,0.4377068,2651.4614,0.0,0.03570326,0.0
8,25.5,4094.1694,4069.8796,2576.3347,21.998684,0.4377068,2643.0156,0.0,0.03570326,0.0
9,25.466667,4081.3215,4057.3914,2567.8433,21.998692,0.4377068,2634.643,0.0,0.03570326,0.0
10,25.433332,4068.617,4045.036,2559.467,21.9987,0.4377068,2626.344,0.0,0.03570326,0.0
11,25.4,4056.0657,4032.8237,2551.2058,21.998707,0.4377068,2618.1316,0.0,0.03570326,0.0
12,25.366667,4041.6975,4019.3167,2542.042,21.998716,0.4377068,2609.0554,0.0,0.03570326,0.0
13,25.333334,4027.394,4006.0117,2533.0269,21.998726,0.4377068,2600.1104,0.0,0.03570326,0.0
14,25.3,4013.6287,3993.1975,2524.3518,21.998734,0.4377068,2591.4932,0.0,0.03570326,0.0
15,25.266666,3999.1968,3979.7737,2515.2754,21.998743,0.4377068,2582.4663,0.0,0.03570326,0.0
16,25.233334,3984.8547,3966.425,2506.2446,21.998753,0.4377068,2573.4795,0.0,0.03570326,0.0
17,25.2,3972.5986,3951.4944,2497.2275,21.99876,0.4377068,2564.5012,0.0,0.03570326,0.0
18,25.166666,3956.9673,3939.8518,2488.4182,21.99877,0.4377068,2555.7449,0.0,0.03570326,0.0
19,25.133333,3942.382,3925.8665,2479.003,21.99878,0.4377068,2546.3835,0.0,0.03570326,0.0
20,25.1,3926.786,3910.583,2468.7976,21.99879,0.4377068,2536.2395,0.0,0.03570326,0.0
21,25.066668,3910.2256,3894.3582,2459.026,21.998802,0.4377068,2524.423,0.0,0.03570326,0.0
22,25.033333,3892.9885,3877.466,2447.7869,21.998816,0.4377068,2513.2424,0.0,0.03570326,0.0
23,25.0,3875.287,3860.1191,2436.2202,21.998827,0.4377068,2501.7793,0.0,0.03570326,0.0
24,25.033333,3877.11,3861.8953,2437.204,21.998835,0.4377068,2502.7432,0.0,0.03570326,0.0
25,25.066668,3879.2412,3863.8667,2438.3425,21.998837,0.4377068,2503.8198,0.0,0.03570326,0.0
26,25.1,3881.5889,3866.0493,2438.5393,21.998835,0.4377068,2506.0334,0.0,0.03570326,0.0
27,25.133333,3884.076,3868.3696,2439.9146,21.998835,0.4377068,2507.357,0.0,0.03570326,0.0
28,25.166666,3997.9172,3982.2449,2507.982,21.998806,0.4377068,2574.7644,0.0,0.07140652,0.0
29,25.2,3998.4395,3978.9587,2506.9282,21.998762,0.4377068,2573.6792,0.0,0.07140652,0.0
30,25.266666,4005.0837,3985.0374,2510.9724,21.998758,0.4377068,2577.796,0.0,0.07140652,0.0
31,25.333334,4012.8018,3992.373,2515.7913,21.998753,0.4377068,2582.6477,0.0,0.07140652,0.0
32,25.4,4021.3308,4000.499,2521.1155,21.998747,0.4377068,2587.968,0.0,0.07140652,0.0
33,25.466667,4030.4187,4009.1626,2526.768,21.998741,0.4377068,2593.5798,0.0,0.07140652,0.0
34,25.533333,4088.2056,4066.5981,2561.5388,21.998724,0.4377068,2628.071,0.0,0.07140652,0.098877065
35,25.6,4109.203,4085.8237,2576.6558,21.998692,0.4377068,2639.3577,0.0,0.07140652,0.098877065
36,25.783333,3595.8918,3566.7822,2226.8801,21.998774,0.4377068,2293.3237,109.87419,0.07140652,0.098877065
37,25.966667,3477.2222,3446.978,2145.1704,21.999819,0.4377068,2207.7407,3701.577,0.07140652,0.098877065
38,26.15,3521.9705,3488.1052,2172.813,21.999483,0.4377068,2234.7837,652.8239,0.07140652,0.098877065
39,26.333334,3516.807,3483.3918,2192.0483,21.999388,0.4377068,2225.5723,3673.5796,0.07140652,0.098877065
40,26.516666,3984.9463,3949.78,2497.9048,21.999298,0.4377068,2496.9739,4186.3345,0.21421957,0.19775413
41,26.7,3954.947,3912.5989,2504.6729,21.999228,0.4377068,2472.718,3994.7996,0.21421957,0.19775413
42,26.783333,3918.8528,3865.6445,2504.2017,21.999262,0.4377068,2446.5444,3958.6663,0.21421957,0.19775413
43,26.866667,3897.7405,3835.1216,2509.7593,21.99929,0.4377068,2430.2837,3944.4133,0.21421957,0.19775413
44,26.95,3890.6638,3818.0293,2521.4487,21.999306,0.4377068,2422.5813,3937.0974,0.21421957,0.19775413
45,27.033333,3892.2275,3814.937,2553.6946,21.999315,0.4377068,2420.819,3935.4224,0.21421957,0.19775413
46,27.116667,5810.2188,5738.1953,3699.0461,21.99911,0.9848403,3554.2754,6177.1123,0.64265865,0.93933207
47,27.2,5789.731,5714.557,3694.496,21.998129,0.9848403,3541.176,6193.59,0.64265865,0.93933207
48,27.3,5738.1216,5658.2036,3671.214,21.998108,0.9848403,3511.3982,6166.1577,0.64265865,0.93933207
49,27.4,5710.6133,5625.1694,3677.19,21.998192,0.9848403,3494.9993,6146.676,0.64265865,0.93933207
50,27.5,5698.7114,5607.8687,3675.768,21.998245,0.9848403,3487.411,6134.5537,0.64265865,0.93933207
51,27.6,5697.9683,5603.6016,3666.141,21.998278,0.9848403,3486.412,6130.354,0.64265865,0.93933207
52,27.7,5706.7983,5609.41,3659.3142,21.998299,0.9848403,3491.0115,6131.771,0.64265865,0.93933207
53,27.8,5722.829,5622.4526,3655.4216,21.998314,0.9848403,3499.8289,6137.2856,0.64265865,0.93933207
54,27.983334,5745.534,5641.89,3655.0833,21.998322,0.9848403,3513.2073,6141.948,0.64265865,0.93933207
55,28.166666,5771.013,5663.9395,3654.6821,21.998318,0.9848403,3528.0566,6148.6123,0.64265865,0.93933207
56,28.35,5797.7114,5687.1963,3653.4333,21.998314,0.9848403,3543.5293,6156.59,0.64265865,0.93933207
57,28.533333,5832.0015,5716.025,3662.4536,21.998308,0.9848403,3562.561,6165.686,0.64265865,0.93933207
58,28.716667,5870.0547,5748.7476,3678.2456,21.998297,0.9848403,3584.0732,6175.8726,0.64265865,0.93933207
59,28.9,5906.839,5779.997,3681.1863,21.998283,0.9848403,3604.3984,6187.123,0.64265865,0.93933207
60,29.083334,5946.842,5814.3823,3680.3743,21.998272,0.9848403,3626.758,6201.8613,0.64265865,0.93933207
61,29.266666,5987.9272,5849.968,3676.4827,21.99826,0.9848403,3649.7642,6217.802,0.64265865,0.93933207
62,29.45,6030.2754,5886.901,3670.1506,21.998245,0.9848403,3673.6418,6235.0645,0.64265865,0.93933207
63,29.633333,6043.1885,5903.812,3671.1733,21.998238,0.9848403,3684.2283,6253.4727,0.64265865,0.93933207
64,29.816668,6050.67,5918.0684,3678.276,21.998241,0.9848403,3692.9087,6272.6533,0.64265865,0.93933207
65,30.0,6058.288,5932.3115,3685.6143,21.998247,0.9848403,3701.382,6292.3613,0.64265865,0.93933207
66,29.45,5954.8506,5839.393,3626.5476,21.998281,0.9848403,3645.5334,6230.9775,0.64265865,0.93933207
67,28.9,5838.564,5732.9497,3558.1067,21.998274,0.9848403,3580.2668,6163.881,0.64265865,0.93933207
68,28.35,5501.3945,5481.914,3395.5012,21.998352,0.9848403,3418.8499,6086.169,0.64265865,0.93933207
69,27.8,5336.502,5331.8657,3300.3958,21.9989,0.9848403,3323.8638,5990.113,0.64265865,0.93933207
70,27.25,5180.865,5179.8926,3204.442,21.999054,0.9848403,3227.8274,5884.266,0.64265865,0.93933207
71,26.7,5043.779,5046.1914,3119.5247,21.999254,0.9848403,3142.6956,5790.606,0.64265865,0.93933207
72,26.516666,4657.994,4661.477,2890.9001,21.999231,0.8754136,2911.391,5309.3965,0.57125217,0.49438533
73,26.333334,4637.5483,4637.967,2875.824,21.999374,0.8754136,2893.3447,5288.566,0.57125217,0.49438533
74,26.15,4644.514,4642.6436,2879.105,21.999434,0.8754136,2894.0847,5285.818,0.57125217,0.49438533
75,25.966667,4667.9614,4663.5444,2892.1895,21.999138,0.8754136,2904.8096,5298.827,0.57125217,0.49438533
76,25.783333,4693.936,4686.361,2906.9248,21.999094,0.8754136,2917.2664,5312.0146,0.57125217,0.49438533
77,25.6,4730.3975,4719.3877,2928.29,21.999073,0.8754136,2936.1294,5330.376,0.57125217,0.49438533
78,25.6,5176.5273,5164.6343,3193.932,21.999004,0.9848403,3200.1724,5856.627,0.64265865,0.93933207
79,25.6,5214.9365,5202.1816,3218.1304,21.998764,0.9848403,3223.5962,5877.7466,0.64265865,0.93933207
80,25.6,5243.848,5230.233,3236.3967,21.998695,0.9848403,3241.5283,5890.7964,0.64265865,0.93933207
81,25.6,5403.385,5340.536,3309.1106,21.998642,0.9848403,3314.392,5903.2544,0.64265865,0.93933207
82,25.6,5485.261,5384.372,3337.7183,21.99856,0.9848403,3343.8381,5915.185,0.64265865,0.93933207
83,25.6,5528.538,5420.057,3360.9924,21.998514,0.9848403,3368.136,5927.1514,0.64265865,0.93933207
84,25.783333,5588.107,5471.763,3394.213,21.998484,0.9848403,3402.359,5949.762,0.64265865,0.93933207
85,25.966667,5648.245,5524.3496,3427.8796,21.998457,0.9848403,3437.937,5974.0796,0.64265865,0.93933207
