,Time
0,2018-08-01 00:10:00.000000
1,2018-08-01 00:23:20.000000
2,2018-08-01 00:32:30.000000
3,2018-08-01 00:45:00.000000
4,2018-08-01 00:55:00.000000
5,2018-08-01 01:00:00.000000
6,2018-08-01 01:10:00.000000
7,2018-08-01 01:22:30.000000
8,2018-08-01 01:30:00.000000
9,2018-08-01 01:40:00.000000
10,2018-08-01 01:50:00.000000
11,2018-08-01 02:00:00.000000
12,2018-08-01 02:10:00.000000
13,2018-08-01 02:25:00.000000
14,2018-08-01 02:30:00.000000
15,2018-08-01 02:40:00.000000
16,2018-08-01 02:50:00.000000
17,2018-08-01 03:00:00.000000
18,2018-08-01 03:10:00.000000
19,2018-08-01 03:25:00.000000
20,2018-08-01 03:35:00.000000
21,2018-08-01 03:40:00.000000
22,2018-08-01 03:50:00.000000
23,2018-08-01 04:00:00.000000
24,2018-08-01 04:10:00.000000
25,2018-08-01 04:20:00.000000
26,2018-08-01 04:30:00.000000
27,2018-08-01 04:40:00.000000
28,2018-08-01 04:50:00.000000
29,2018-08-01 05:00:00.000000
30,2018-08-01 05:10:00.000000
31,2018-08-01 05:25:00.000000
32,2018-08-01 05:35:00.000000
33,2018-08-01 05:40:00.000000
34,2018-08-01 05:50:00.000000
35,2018-08-01 06:00:00.000000
36,2018-08-01 06:10:00.000000
37,2018-08-01 06:25:00.000000
38,2018-08-01 06:30:00.000000
39,2018-08-01 06:40:00.000000
40,2018-08-01 06:50:00.000000
41,2018-08-01 07:00:00.000000
42,2018-08-01 07:10:00.000000
43,2018-08-01 07:20:00.000000
44,2018-08-01 07:30:00.000000
45,2018-08-01 07:40:00.000000
46,2018-08-01 07:50:00.000000
47,2018-08-01 08:00:00.000000
48,2018-08-01 08:10:00.000000
49,2018-08-01 08:22:30.000000
50,2018-08-01 08:30:00.000000
51,2018-08-01 08:40:00.000000
52,2018-08-01 08:50:00.000000
53,2018-08-01 09:05:00.000000
54,2018-08-01 09:15:00.000000
55,2018-08-01 09:20:00.000000
56,2018-08-01 09:30:00.000000
57,2018-08-01 09:40:00.000000
